Group,Age,Sex,Education,Mood_1,Energy_1,Cube_1_1,Math_1_1,Cube_1_2,Math_1_2,Cube_1_3,Math_1_3,Cube_1_4,Math_1_4,Cube_1_5,Math_1_5,Cube_2_1,Math_2_1,Cube_2_2,Math_2_2,Cube_2_3,Math_2_3,Cube_2_4,Math_2_4,Cube_2_5,Math_2_5,Mood_2,Energy_2
Exp,25-34,Male,Bachelor degree,4,4,8,75,11,36,13,190,27,98,28,399,8,151,11,36,16,181,30,248,32,368,5,4
Exp,35-44,Male,Bachelor degree,6,4,8,75,11,36,13,60,27,98,30,400,8,151,11,36,16,182,30,248,32,368,6,5
Con,18-24,Male,Bachelor degree,6,6,8,75,11,36,13,94,27,102,30,,8,151,11,36,16,181,30,294,32,386,6,7
Con,25-34,Female,High school diploma or GED,5,5,8,75,11,36,13,94,27,98,30,319,8,151,11,36,16,181,30,248,32,368,3,4
Exp,35-44,Male,Bachelor degree,5,6,8,75,11,66,13,94,27,98,30,401,8,151,11,36,16,181,30,248,32,368,6,6
Con,35-44,Male,Graduate degree,3,2,8,75,11,36,13,94,27,98,30,399,8,151,11,36,16,181,30,248,32,368,3,4
Exp,35-44,Female,Graduate degree,6,3,8,75,11,36,13,95,27,98,30,399,8,151,11,36,15,181,30,248,31,368,5,3
Con,25-34,Female,Bachelor degree,4,3,8,75,11,36,13,94,27,98,30,499,8,151,11,36,16,181,30,248,32,366,4,5
Exp,55-64,Female,Graduate degree,5,5,8,75,11,,13,94,27,98,29,399,8,151,11,36,16,181,30,248,32,368,5,5
Con,25-34,Female,Associates Degree or technical school,4,5,8,75,11,36,13,94,27,98,29,399,8,151,11,36,16,181,30,248,31,358,5,5
Con,35-44,Male,Bachelor degree,5,4,8,75,11,36,13,190,27,98,30,399,8,151,11,44,16,181,30,248,32,368,5,5
Con,35-44,Male,Graduate degree,6,6,8,65,11,36,13,60,27,98,30,399,8,151,11,36,17,181,30,248,32,368,6,6
Exp,35-44,Male,Bachelor degree,5,5,8,75,11,26,13,94,27,98,30,329,8,151,11,36,16,181,30,248,31,348,5,5
Exp,55-64,Male,Graduate degree,6,4,8,75,11,36,13,190,27,98,30,360,10,151,11,36,16,181,30,248,32,368,5,4
Exp,35-44,Male,Graduate degree,5,5,8,75,11,49,13,94,27,98,30,399,8,150,11,26,16,181,30,248,32,2680,5,5
Con,35-44,Male,Bachelor degree,6,2,7,73,11,34,13,94,27,98,30,399,8,151,11,36,19,181,30,248,32,368,6,2
Exp,35-44,Female,Bachelor degree,6,6,7,75,11,36,13,94,27,98,30,399,8,151,11,36,16,181,30,248,32,368,6,6
Con,35-44,Male,High school diploma or GED,3,4,8,75,11,36,13,94,27,98,30,,8,151,11,36,16,181,29,248,32,3248,5,5
Exp,35-44,Female,Graduate degree,5,3,8,75,11,36,13,94,27,102,30,499,8,151,11,36,16,181,30,248,32,368,5,4
Con,35-44,Male,Bachelor degree,5,4,8,75,11,150,13,60,27,98,30,390,8,151,11,36,17,181,29,248,32,218,5,4
